PlantID|SpeciesName|HeightMinCm|HeightMaxCm|ElevationMinMeters|ElevationMaxMeters|SoilMoisture|Substrates|Terrain|PlantAssociations|HabitatNotes|BloomMonths|BloomColors|NectarGuides|PlantNotes|StateCodes|CountyCodes
PL0124|Penstemon euglaucus|15|50|1100|1600|unspecified|volcanic ash soils|subalpine meadows, woodland clearings|pine|Transition Zone, Canadian Zone|6, 7, 8, 9|blue, lavender, violet|pale violet||OR, WA|
PL0125|Penstemon fendleri|30|40|1200|1500|unspecified|calcareous gravel soils, sandy soils|grasslands|none||4, 5, 6, 7|pale lavender, lavender, violet|magenta||AZ, KS, NM, OK, TX|
PL0126|Penstemon filiformis|20|50|200|300|mesic, xeric|gravelly soils, serpentine|shrublands, woodlands|none|Shasta County, Transition Zone|6, 7|blue, violet|||CA|
PL0127|Penstemon flavescens|15|40|1980|2450|mesic|gravelly soils|alpine meadows, woodland clearings|conifers|Bitterroot Mtns|6, 7, 8|white, pale yellow|||ID, MT|
PL0128|Penstemon floribundus|12|23|1300|2300|unspecified|calcareous gravel soils|alluvial fans, gravel washes|none|Jackson Mountains|5, 6|blue-violet|||NV|
PL0129|Penstemon floridus austinii|50|120|1500|2500|unspecified|gravelly soils|gravel washes, canyon floors, shrublands, woodlands|sagebrush, piñon-juniper||5, 6, 7|lavender, pale yellow, pale pink, rose pink|red||CA, NV|
PL0130|Penstemon floridus floridus|50|120|1600|2700|unspecified|gravelly soils|gravel washes, canyon floors, shrublands, woodlands|sagebrush, piñon-juniper||5, 6, 7|lavender, pale yellow, pale pink, rose pink|red||CA, NV|
PL0131|Penstemon flowersii|8|25|1500|1600|unspecified|gravelly soils, clay soils|slopes, river benches|shadscale|Uinta Formation Duschesne River|5, 6|pink|rose pink||UT|49013, 49047
PL0132|Penstemon franklinii|6|25|1650|1800|xeric|gravelly soils, sandy soils|shrublands|needlegrass, matchweed, black sagebrush|1426492 Cedar Valley|5, 6|blue-lavender, lavender, violet|violet||UT|49021
PL0133|Penstemon fremontii|8|25|1500|2200|xeric|clay soils, sandy soils|open hillsides, shrublands|sagebrush,piñon-juniper,rabbitbrush||5, 6, 7|blue-lavender, blue-violet, violet|violet||CO, UT, WY|08081, 08103, 49013, 49047, 56041
PL0134|Penstemon luculentus|8|25|1800|2500|xeric|shale soils|open hillsides, shrublands|rabbitbrush||5, 6, 7|blue-lavender, blue-violet, violet|violet||CO|08045, 08103
PL0135|Penstemon fruticiformis amargosae|30|60|900|1900|xeric|shrublands|unspecified|creosote||4, 5, 6|pale pink, pink, blue-lavender, lavender|magenta||CA, NV|
PL0136|Penstemon fruticiformis fruticiformis|30|60|975|2010|unspecified|gravelly soils|gravel washes, canyon floors, shrublands, woodlands|creosote, piñon-juniper|Lower Sonoran Zone, Panamint Range, Argus Range, Inyo Range|5, 6|pale pink, pink, blue-lavender, lavender|magenta||CA|
PL0137|Penstemon fruticosus fruticosus|15|40|300|3000|unspecified|gravelly soils|rocky hillsides, rock outcrops, roadcuts, woodlands|sagebrush-juniper, conifers|Arid Transition Zone, Hudsonian Zone|4, 5, 6|blue-lavender, violet|blue-lavender nectar||ID, MT, OR, WA, WY|
PL0138|Penstemon fruticosus scouleri|15|40|200|2200|unspecified|gravelly soils|rocky hillsides, rock outcrops, cliffs, roadcuts, woodland clearings|unspecified||4, 5, 6, 7|blue-lavender, violet|blue-lavender||ID, WA|
PL0139|Penstemon fruticosus serratus|15|40|1400|2500|unspecified|gravelly soils|rocky hillsides, rock outcrops|none||4, 5, 6|blue-lavender, violet|blue-lavender||ID, OR, WA|
PL0140|Penstemon gairdneri gairdneri|10|20|100|1800|unspecified|gravelly soils|rock outcrops, shrublands, prairie|sagebrush||5, 6, 7|blue, rose purple|red||OR, WA|
PL0141|Penstemon gairdneri oreganus|20|40|1000|1600|unspecified|gravelly soils|shrublands, wooded hillsides|sagebrush, juniper, Ponderosa pine|Eastern OR, Western ID, Arid Transition Zone|5, 6|lavender, violet|red||OR, ID|
PL0142|Penstemon gibbensii|10|20|1600|2400|xeric|shale soils, sandy-clay soils|rocky hillsides, shrublands, woodlands|sagebrush, piñon-juniper, greasewood-saltbush|Brown's Park Formation, Green River Formation|6, 7, 8, 9|pale blue, pale violet, lavender|magenta||CO, UT, WY|08081, 08103, 49009, 56007, 56037
PL0143|Penstemon glaber alpinus|10|80|3300|3400|unspecified|gravelly soils|mesas, mountains|none|Front Range, primarily in disturbed areas|6, 7, 8|blue-violet, violet|magenta||CO, NM, WY|
PL0144|Penstemon glaber brandegeei|50|65|1800|2100|unspecified|gravelly soils, sandy soils|high plains, hillsides|none||6, 7, 8|blue, blue-violet|magenta||CO, NM|
PL0145|Penstemon glaber glaber|50|65|1100|2200|unspecified|gravelly soils, sandy soils|high plains, hillsides|none||6, 7, 8, 9|pale blue, blue|pale violet||MT, ND, NE, SD, WY|
PL0146|Penstemon glabrescens glabrescens|8|30|1600|3000|xeric|unspecified|hillsides, shrublands, woodlands|piñon-juniper, Ponderosa pine|SW Colorado,  NW New Mexico|5, 6, 7|blue, blue-lavender|magenta, violet||CO, NM|
PL0147|Penstemon glandulosus chelanensis|40|100|200|2000|unspecified|gravelly soils|rocky hillsides|none|Chelan County, Arid Transition Zone|4, 5, 6, 7|blue-lavender, lavender, violet|dark violet||WA|
PL0148|Penstemon glandulosus glandulosus|40|100|200|1400|xeric|gravelly soils|rocky hillsides, cliffs, canyons, foothills|none|Arid Transition Zone|5, 6, 7|blue-lavender, lavender, violet|dark violet||ID, OR, WA|
PL0149|Penstemon glaucinus|30|35|1900|2100|unspecified|unspecified|woodland clearings|Lodgepole pine|Klamath County,  Lake City|6, 7|violet|||OR|
PL0150|Penstemon globosus|25|40|800|3100|hydric, mesic|gravelly soils|boggy meadows, dry meadows, grassy hillsides|none|Wallowa Mtns., Arid Transition Zone, Canadian Zone|5, 6, 7, 8|violet|||ID, MT, OR|
PL0151|Penstemon goodrichii|20|35|1700|1750|unspecified|sandy-clay soils|low hills, plains, shrublands, woodlands|sagebrush-shadscale, juniper-mountain mahogany|Duschesne River Formation|5, 6|blue, blue-lavender, violet|magenta||UT|49047, 49013
PL0152|Penstemon gormanii|10|30|400|1200|xeric|gravelly soils, stream gravels|sand dunes, rocky hillsides, woodland margins|none||7, 8|white, pink, blue, blue-lavender|||AK|
PL0153|Penstemon gracilentus|25|65|1000|3000|xeric|volcanic sand soils, volcanic gravel soils, granite sand soils, granite gravel soils|shrublands, woodlands|sagebrush-Symphoricarpos, conifers|Canadian Zone, Hudsonian Zone|6, 7, 8|blue, violet|dark blue||CA, NV, OR|
PL0154|Penstemon gracilis gracilis|25|55|300|2300|unspecified|unspecified|foothills|scrub oak, pine||5, 6, 7, 8|pale blue, pale lavender, lavender, violet|violet||CO, IA, MI, MN, MT, ND, NE, NM, SD, WI, WY|
PL0155|Penstemon gracilis wisconsinensis|30|60|NA|NA|unspecified|unspecified|grasslands|tallgrass prairie, mixed prairie, shortgrass prairie||5, 6, 7, 8|pale lavender, lavender|violet||WI|
PL0156|Penstemon grahamii|7|18|1400|2000|unspecified|oil shales|talus slopes, rock outcrops|piñon-juniper||5, 6|pink, lavender|violet||CO, UT|08103, 49047, 49013
PL0157|Penstemon grandiflorus|50|95|300|2000|mesic|calcareous soils, sandy soils|grasslands|tallgrass prairie, mixed prairie, sand prairie||4, 5, 6, 7|pinkish blue, lavender, violet|magenta||CO, CT, IA, IL, IN, KS, MA, MN, MO, MT, ND, NE, OH, OK, SD, TX, WI, WY|
PL0158|Penstemon grinnellii grinnellii|30|100|800|2900|xeric|unspecified|shrublands, woodlands, foothills|chaparral, piñon-juniper, pine|Transition Zone|4, 5, 6, 7|white, pale pink, pale blue, pale lavender, pale violet|magenta||CA|
PL0159|Penstemon grinnellii scrophularioides|30|80|500|1900|xeric|unspecified|foothills, woodlands|piñon-juniper||4, 5, 6, 7|blue-violet, violet|||CA|
PL0160|Penstemon guadalupensis|25|35|300|620|xeric|calcareous gravel soils, sandy soils|grasslands|none||3, 4, 5|white, pink|||TX|
PL0161|Penstemon hallii|10|25|3000|3750|unspecified|gravelly soils|alpine meadows|none|Near and above timberline|6, 7, 8|blue-violet, pale violet, violet, magenta|magenta, violet||CO|
PL0162|Penstemon harbourii|5|15|3200|4100|unspecified|gravelly soils|scree slopes, gravel hillsides, high alpine summits, boulder fields|none||6, 7, 8|violet, dark violet|||CO|
PL0163|Penstemon harringtonii|30|70|1950|2900|xeric|calcareous loamy soils|hillsides|sagebrush, piñon-cedar-sage|Grand County, Eagle County, Routt County|6, 7|pinkish blue, blue, lavender, blue-violet, violet||two well-exerted stamens|CO|
PL0164|Penstemon havardii|45|200|1280|2420|xeric|calcareous gravel soils|rocky hillsides, washes|none|Mountains of the Trans-Pecos|4, 5, 6, 7, 8, 9, 10|orange, red|||TX|
PL0165|Penstemon haydenii|20|45|900|2300|unspecified|deep sand|sand dunes|none|endangered, found in dune blowouts in sandhills ecosystem|4, 5, 6, 7|blue-lavender, lavender|magenta|fragrant|NE, WY|31013, 31031, 31069, 31091, 31123, 31161, 56007
PL0166|Penstemon heterodoxus cephalophorus|15|40|2200|4000|unspecified|unspecified|alpine meadows, subalpine meadows|none|Tulare County, Fresno County|7, 8|blue, lavender, violet|||CA|
PL0167|Penstemon heterodoxus heterodoxus|5|20|2000|3900|mesic|unspecified|talus slopes, alpine meadows, subalpine meadows|none|Often around melting snow|7, 8|blue, lavender, violet|||CA, NV|
PL0168|Penstemon heterodoxus shastensis|20|50|1100|2400|unspecified|unspecified|montane meadows|none|Transition Zone, Canadian Zone|7, 8|blue, lavender, violet|||CA|
PL0169|Penstemon heterophyllus australis|30|50|50|1700|unspecified|unspecified|grasslands, shrublands, woodland clearings|chaparral, sagebrush, pine||4, 5, 6, 7|blue, violet|||CA|
PL0170|Penstemon heterophyllus heterophyllus|30|50|50|1600|xeric|unspecified|grasslands, shrublands, woodland clearings|chaparral, sagebrush, pine|Upper Sonoran Zone, Transition Zone|4, 5, 6, 7|blue, violet|||CA|
PL0171|Penstemon heterophyllus purdyi|25|70|50|1900|unspecified|unspecified|grasslands, shrublands, woodland clearings|chaparral, pine||4, 5, 6, 7|blue, violet|||CA|
PL0172|Penstemon hirsutus|40|80|10|200|xeric|gravelly soils, sandy soils|cliffs, woodlands, prairies|none||5, 6, 7|white, pale lavender|||AL, CT, DC, DE, IL, IN, KY, MA, MD, ME, MI, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV|
PL0173|Penstemon humilis brevifolius|5|25|1700|3400|unspecified|unspecified|valleys, foothills, woodlands, alpine tundra|sagebrush, piñon-juniper, conifers|1447008 Wasatch Range|5, 6, 7|blue, violet|magenta||UT|49003, 49005, 49023, 49029, 49033, 49035, 49039, 49041, 49045, 49049, 49051, 49057
PL0174|Penstemon humilis humilis|5|25|1000|3200|unspecified|gravelly soils|rocky hillsides, valleys, foothills, woodlands, alpine tundra|sagebrush, piñon-juniper, conifers||4, 5, 6, 7, 8|brilliant blue, blue-lavender, violet|magenta||CA, CO, ID, NM, NV, OR, UT, WA, WY|
PL0175|Penstemon humilis obtusifolius|5|25|1500|3400|unspecified|unspecified|woodlands|piñon-juniper, pine|1455157 Zion National Park|5, 6|blue, violet|magenta||UT|49053
PL0176|Penstemon idahoensis|8|20|1500|1600|unspecified|sandy soils|tuffaceous outcrops|sagebrush, juniper|Goose Creek basin|6, 7|blue, blue-violet, violet|magenta||ID, UT|16031, 49003
PL0177|Penstemon immanifestus|15|30|1500|2200|xeric|sandy soils, loamy soils|valleys, foothills, roadsides|sagebrush|861585 Steptoe Valley|5, 6|pink, lavender|red, magenta||NV, UT|32007, 32011, 32015, 32023, 32033, 49023, 49027, 49045
PL0178|Penstemon incertus|60|80|800|1800|xeric|sandy soils, gravelly soils|shrublands, woodlands|sagebrush, piñon-juniper, Joshua tree||5, 6|pink, pinkish blue, lavender|||CA|
PL0179|Penstemon inflatus|10|60|2200|3400|unspecified|unspecified|hillsides, meadows, woodlands, passes|sagebrush, piñon-juniper, pine, pine-Douglas fir|Sangre de Cristo Mtns, Sandia Mtns|6, 7, 8, 9, 10|pale blue, lavender|magenta||NM|
PL0180|Penstemon jamesii|10|45|1100|2300|unspecified|sandy soils, loamy soils, gravelly soils, limestone|hillsides, grasslands, woodlands, mesas|shortgrass prairie, piñon-juniper||6, 7|lavender, violet|||CO, KS, NM, TX|
PL0181|Penstemon janishiae|8|20|1300|2250|unspecified|volcanic clay soils|shrublands, woodlands|sagebrush, juniper, piñon-juniper||5, 6, 7|pink, lavender, violet|magenta||CA, ID, NV, OR|
PL0182|Penstemon kingii|8|25|1500|3000|xeric|unspecified|valleys, wooded hillsides|sagebrush, piñon-juniper||5, 6|blue, violet, magenta|||NV, OR|
PL0183|Penstemon kralii|40|70|200|350|unspecified|calcareous gravel soils|hillsides, woodlands|juniper-oak-hickory|Cumberland Plateau|5|pale lavender|violet||AL, TN|
PL0184|Penstemon labrosus|30|70|1200|2400|mesic, xeric|unspecified|wooded hillsides|piñon-juniper, pine, mixed hardwood||7, 8|scarlet|||CA|
PL0185|Penstemon laetus laetus|20|80|400|2000|xeric|unspecified|wooded hillsides, shrublands|oak, pine, Ponderosa pine|Upper Sonoran Zone, Transition Zone|3, 4, 5, 6, 7|blue, violet|violet||CA|
PL0186|Penstemon laetus leptosepalus|20|80|400|1700|unspecified|gravelly soils, sandy soils|shrublands, woodlands|chaparral, pine, oak|Upper Sonoran Zone, Transition Zone|5, 6, 7|blue, violet|violet||CA|
PL0187|Penstemon laetus sagittatus|20|80|500|2300|xeric|unspecified|shrublands, woodlands|sagebrush, conifers||5, 6, 7, 8, 9|blue, violet|violet||CA, OR|
PL0188|Penstemon laevigatus|40|100|10|400|mesic|sandy soils|meadows, fields, floodplain forests, calcareous outcrops|none||5, 6|white, pale lavender|magenta||AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, OH, PA, SC, TN, VA, WV|
PL0189|Penstemon laevis|40|60|1100|2000|unspecified|sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine||5, 6|blue, blue-violet|magenta||AZ, UT|04005, 04015, 49017, 49025, 49053
PL0190|Penstemon lanceolatus|20|55|1200|1800|unspecified|gravelly soils|canyons, woodlands, desert grasslands, shrublands|piñon-juniper, thorn scrub||5, 6, 7|orange-red, scarlet, red, crimson|magenta||AZ, NM, TX|
PL0191|Penstemon laricifolius exilifolius|10|20|1500|2900|unspecified|sandy soils, gravelly soils|grasslands, shrublands|sagebrush||6, 7, 8|white|none||CO, WY|08069, 56001
PL0192|Penstemon laricifolius laricifolius|10|20|1500|2400|xeric|sandy soils, gravelly soils, limestone, sandstone|rocky ridges, shrublands, woodland clearings|sagebrush, pine||5, 6, 7, 8|pink, lavender|none||MT, WY|30003, 30009, 56003, 56007, 56013, 56017, 56025, 56035, 56037, 56043
PL0193|Penstemon laxiflorus|30|70|10|500|mesic|acidic soils, gravelly soils, sandy soils|woodland margins, grasslands|||3, 4, 5, 6|white, pale pink, pale lavender|||AL, AR, FL, GA, LA, MS, OK, TX|
PL0194|Penstemon laxus|50|80|1700|2400|xeric|gravelly soils|shrublands, meadows|sagebrush|Blaine County, Boise County, Elmore County|6, 7|blue, violet|magenta||ID|
PL0195|Penstemon leiophyllus francisci-pennellii|5|20|2000|4000|unspecified|rocky soils, limestone|rocky hillsides, shrublands, woodlands|sagebrush, oak, manzanita, Ponderosa pine, aspen, spruce, limber pine, bristlecone pine ||6, 7, 8|violet, dark violet|||NV|
PL0196|Penstemon leiophyllus keckii|5|20|2000|3500|unspecified|unspecified|woodlands|pine|Clark County|6, 7, 8|blue, violet|magenta, violet||NV|
PL0197|Penstemon leiophyllus leiophyllus|15|70|1700|3500|unspecified|unspecified|woodlands|spruce, pine-aspen||6, 7, 8|blue, violet|magenta, violet||UT|49017, 49012, 49025, 49053
PL0198|Penstemon lemhiensis|30|70|970|2500|unspecified|gravelly soils, sandy soils, clay soils|open hillsides, grasslands, woodlands|lodgepole pine, Douglas fir||6, 7|pale blue, brilliant blue, violet|||ID, MT|
PL0199|Penstemon lentus albiflorus|20|40|1500|2600|xeric|sandy soils, gravelly soils|hillsides|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine|1438111 Abajo Mountains|5, 6|white|none||UT|49037
PL0200|Penstemon lentus lentus|20|40|1500|2600|xeric|sandy soils, gravelly soils|hillsides, woodlands|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine|Four Corners region|5, 6|pinkish blue, blue, lavender, violet|||AZ, CO, NM, UT|04001, 04017, 08007, 08033, 08083, 08085, 08113, 35045, 35031, 49037
PL0201|Penstemon leonardii higginsii|15|40|2000|3000|xeric|gravelly soils|unspecified|piñon-juniper, oak-maple, aspen-conifer, conifer||6, 7|lavender, violet|none||AZ, NV, UT|04015, 32017, 32033, 49021, 49053
PL0202|Penstemon leonardii leonardii|15|40|1800|3100|xeric|gravelly soils|hillsides|oak-maple-serviceberry, aspen-conifer, lodgepole pine||6, 7|blue, lavender|none||ID, UT|16007, 49005, 49011, 49023, 49027, 49029, 49033, 49035, 49039, 49043, 49049, 49051, 49057
PL0203|Penstemon leonardii patricus|15|40|2100|2700|xeric|gravelly soils|mixed shrublands, grasslands|sagebrush, pine, pine-aspen||6, 7|blue, violet|none||NV, UT|32033, 49023, 49027, 49045
PL0204|Penstemon tidestromii|30|50|1600|1800|unspecified|unspecified|shrublands, woodlands|sagebrush piñon-juniper, Gambel oak|1445298 San Pitch Mountains|5, 6, 7|blue, violet|none||UT|49023, 49039
PL0205|Penstemon linarioides coloradoensis|10|30|1200|2300|unspecified|sandy soils, clay soils|mountains, plateaus, woodlands|sagebrush, piñon-juniper, scrub oak, Ponderosa pine||6, 7|blue, lavender|magenta||AZ, CO, NM|
PL0206|Penstemon linarioides compactifolius|10|30|1200|2300|unspecified|gravelly soils|hillsides|sagebrush, piñon-juniper||6, 7, 8|blue, lavender|magenta||AZ, NV|
PL0207|Penstemon linarioides linarioides|10|30|1400|2900|unspecified|sandy soils, clay soils, gravelly soils|hillsides|sagebrush, piñon-juniper||6, 7, 8|blue, lavender|magenta||AZ, NM|
PL0208|Penstemon linarioides maguirei|15|25|1800|2000|unspecified|gravelly soils, limestone|rocky hillsides, cliffs|pine-juniper||6, 7, 8, 9, 10|blue, lavender|magenta||AZ, NM|
PL0209|Penstemon linarioides sileri|8|40|1200|2400|unspecified|sandy soils, clay soils|shrublands, woodlands|sagebrush, oak-juniper, oak, pine||5, 6, 7, 8, 9, 10|blue, lavender|magenta||AZ, NV, UT|
PL0210|Penstemon longiflorus|25|60|1800|2500|mesic, xeric|unspecified|shrublands, woodlands|sagebrush, Gambel oak, mountain mahogany|Tushar Plateau, Pavant Plateau, Mineral Mtns, Canyon Mtns|6, 7|blue, violet|none||UT|49001, 49023, 49027, 49031, 49041, 49045
PL0211|Penstemon lyallii|30|80|600|2400|xeric|gravelly soils|rocky hillsides, rock outcrops, gravel washes|none||6, 7, 8|pink, pale lavender, lavender, violet|||ID, MT, WA|
PL0212|Penstemon marcusii|14|20|1600|2000|unspecified|clay soils, gravelly soils|cliffs, low hills, desert valleys|sagebrush||5, 6|blue, violet|magenta||UT|49007, 49015
PL0213|Penstemon mensarum|40|100|2100|2900|unspecified|unspecified|shrublands, woodland clearings|sagebrush, aspen|Delta County, Mesa County|4, 5, 6, 7|blue, violet|magenta||CO|
PL0214|Penstemon metcalfei|30|40|2000|2900|unspecified|unspecified|cliffs, wooded hillsides|pine, spruce-fir|Sierra County, Grant County|7, 8|lavender, violet|magenta||NM|
PL0215|Penstemon miser|10|25|800|1400|mesic|clay soils|hillsides, shrublands, woodlands|sagebrush, pine-juniper|Arid Transition Zone|5, 6, 7|light blue, blue, blue-violet, magenta|magenta||ID, OR|
PL0216|Penstemon moffatii moffatii|10|30|1300|1800|xeric|gravelly soils, sandy soils, clay soils|mesas, hillsides, shrublands, woodlands|blackbrush, sagebrush, piñon-juniper||4, 5, 6|blue, violet|magenta||CO, UT|08029, 08049, 08085, 08077, 49017, 49019, 49055
PL0217|Penstemon moffatii paysonii|10|30|1300|1800|xeric|gravelly soils, sandy soils, clay soils|mesas, hillsides, shrublands, woodlands|blackbrush, sagebrush, piñon-juniper||4, 5, 6|blue, violet|magenta|from ssp. moffattii by oblanceolate basal leaves and sessile cauline leaves|CO|08085
PL0218|Penstemon monoensis|7|30|1300|1800|xeric|gravelly soils, sandy soils|desert hills, washes|sagebrush, Joshua tree|White Mtns, Inyo Mtns|4, 5, 6|pink, rose pink, violet|magenta||CA|
PL0219|Penstemon montanus idahoensis|10|30|1500|3200|unspecified|rock crevices, weathered granite|rock outcrops|juniper||6, 7, 8|lavender, blue, violet|pale lavender, blue||ID|
PL0220|Penstemon montanus montanus|10|30|1500|3500|unspecified|rock crevices, gravelly soils|cliffs, hillsides, rock slides|none||6, 7, 8|lavender, blue, violet|pale lavender, blue||ID, MT, UT, WY|
PL0221|Penstemon moriahensis|35|50|2200|3300|unspecified|gravelly soils, silt|shrublands, woodlands|sagebrush, piñon-juniper, pine, mountain mahogany|White Pine County|6, 7|blue, violet|||NV|
PL0222|Penstemon mucronatus|10|25|1700|2100|xeric|gravelly soils, sandy soils|woodlands|juniper, piñon-juniper||5, 6|blue, violet|magenta||CO, UT, WY|08081, 08103, 49009, 49047, 56007, 56037
PL0223|Penstemon multiflorus|80|150|0|100|unspecified|sandy soils|woodlands|scrub oak, pine|Coastal Plain|4, 5, 6, 7|white|||AL, FL, GA|
PL0224|Penstemon murrayanus|50|100|10|200|xeric|sandy soils|grasslands, woodlands|deciduous forest, pine, sandhill prairie||3, 4, 5, 6|scarlet, red|||AR, LA, OK, TX|
PL0225|Penstemon nanus|3|7|1800|2000|xeric|calcareous gravel soils|shrublands, woodlands, valleys, foothills|piñon-juniper||5, 6|violet|magenta||UT|49001, 49027
PL0226|Penstemon navajoa|20|40|2500|3160|unspecified|gravelly soils|woodlands|Ponderosa pine, aspen, Douglas fir, subalpine fir|8537 Navajo Mountain|7, 8|blue, blue-lavender, lavender|magenta||UT|49037
PL0227|Penstemon neomexicanus|30|60|1830|2740|unspecified|unspecified|hillsides, woodland clearings|pine, spruce-fir, pine-spruce|Capitan Mtns, Sacramento Mtns, White Mtns|6, 7, 8|lavender, violet|magenta||NM|
PL0228|Penstemon neotericus|20|60|1000|2200|xeric|volcanic soils|woodlands|pine, fir|Transition Zone|5, 6, 7, 8, 9, 10|blue, violet|||CA|
PL0229|Penstemon newberryi berryi|15|30|2000|3500|unspecified|gravelly soils|rock outcrops, talus slopes|none|Transition Zone, Canadian Zone|6, 7, 8|pink, lavender, violet|||CA, OR|
PL0230|Penstemon newberryi newberryi|15|30|500|3500|unspecified|rock crevices|rock outcrops, talus slopes|none||4, 5, 6, 7, 8|scarlet, red|||CA, NV|
PL0231|Penstemon newberryi sonomensis|15|30|800|2300|unspecified|rock crevices|rock outcrops, talus slopes|none|Sonoma County|6, 7, 8|dark rose-purple|||CA|
PL0232|Penstemon nitidus nitidus|10|35|200|2500|unspecified|unspecified|grasslands, roadcuts|shortgrass prairie, montane grasslands||5, 6, 7|scarlet, red|magenta||CO, MT, ND, SD, WY|
PL0233|Penstemon nitidus polyphyllus|10|35|400|1700|unspecified|gravelly soils|hillsides, stream banks, grasslands|montane grasslands||4, 5, 6|blue, violet|magenta||ID, MT|
PL0234|Penstemon nudiflorus|60|100|1370|2130|xeric|basalt gravel soils|hillsides, woodlands|piñon-juniper, Ponderosa pine||5, 6|lavender, violet|magenta||AZ|
PL0235|Penstemon oklahomensis|40|60|200|300|xeric|sandy soils|grasslands, woodlands|tallgrass prairie||4, 5, 6|white, pale yellow|||OK, TX|
PL0236|Penstemon oliganthus|15|40|2400|3500|mesic, hydric|loamy soils|marshes, grasslands, woodland clearings|pine, spruce-fir||6, 7, 8|blue, blue-violet|magenta||AZ, NM|
PL0237|Penstemon ophianthus|13|27|1500|2250|unspecified|gravelly soils, sandy soils, clay soils|shrublands, woodlands|sagebrush, piñon-juniper, oak, Ponderosa pine|Four Corners region|5, 6|lavender, violet|dark violet||AZ, CO, NM, UT|
PL0238|Penstemon osterhoutii|30|70|1600|2700|unspecified|sandy soils, clay soils|hillsides, canyons, woodlands|sagebrush, pine-juniper||5, 6|sky blue|violet||CO|08037, 08045, 08049, 08097, 08103, 08107, 08117
PL0239|Penstemon ovatus|50|100|10|900|hydric, mesic|gravelly soils|rocky hillsides, woodlands|none|Humid Transition Zone, Canadian Zone|5, 6, 7, 8|blue, violet|magenta||OR, WA|
PL0240|Penstemon pachyphyllus congestus|30|65|1500|2600|xeric|gravelly soils, sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine, bristlecone pine||5, 6|blue, blue-lavender, violet|magenta||AZ, NV, UT|
PL0241|Penstemon griffinii|10|50|2500|3100|unspecified|gravelly soils|rocky hillsides, grasslands, woodlands|conifers||6,7,8|blue, blue-violet, violet|violet||CO, NM|08015, 08021, 08043, 08079, 08093, 08105, 08109, 35039, 35055
PL0242|Penstemon pachyphyllus pachyphyllus|30|65|1300|3200|xeric|gravelly soils, sandy soils|shrublands, woodlands|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine, bristlecone pine||5,6,7|blue, lavender, violet|magenta||NM, UT|49013, 49009, 49047, 08103
PL0243|Penstemon pahutensis|15|25|1900|2300|unspecified|rock crevices, sandy soils|mesas, woodlands|sagebrush, piñon-juniper|Inyo County, Nye County, Esmeralda County|6, 7|blue-lavender|magenta||CA, NV|
PL0244|Penstemon pallidus|40|80|10|300|mesic|gravelly soils, sandy-loam soils, loamy soils, sandstone, limestone|grasslands, woodlands|tallgrass prairie, oak-hickory||4, 5, 6, 7|white, pale blue, pale lavender|magenta||AL, AR, CT, DC, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV|
PL0245|Penstemon palmeri eglandulosus|50|140|800|2500|xeric|unspecified|washes, roadsides, canyon floors|blackbrush, sagebrush, piñon-juniper, juniper, Ponderosa pine, Joshua tree||3, 4, 5, 6, 7, 8, 9|white, pale pink, pinkish lavender|magenta||AZ, UT|04005, 04015, 49015, 49017, 49019, 49021, 49025, 49037, 49053, 49055
PL0246|Penstemon palmeri macranthus|50|140|1000|1400|xeric|unspecified|washes, roadsides, canyon floors|blackbrush, sagebrush, piñon-juniper, juniper, Ponderosa pine, Joshua tree|Nye County, Churchill County, Pershing County|5, 6, 7|white, pale pink, pinkish lavender|magenta||NV|
PL0247|Penstemon palmeri palmeri|50|140|800|2800|xeric|unspecified|washes, roadsides, canyon floors|creosote, piñon-juniper|Widely seeded on roadsides|5, 6, 7|white, pale pink, pinkish lavender|magenta||AZ, CA, CO, ID, NM, NV, UT, WA, WY|
PL0248|Penstemon papillatus|20|40|2000|2700|unspecified|gravelly soils|woodland clearings|piñon-juniper, lodgepole pine|Inyo County, Mono County|6, 7|blue, lavender, violet|||CA|
PL0249|Penstemon parryi|30|120|500|1500|xeric|gravelly soils|rocky hillsides, washes, canyons, desert|oak||2, 3, 4|rose pink, rose magenta|||AZ|
PL0250|Penstemon parviflorus|15|20|1400|1800|unspecified|gravelly soils, silt|shrublands, grasslands|sagebrush, shortgrass prairie|Montezuma County|5, 6|pinkish blue, lilac, violet|magenta||CO|
PL0251|Penstemon parvulus|20|35|500|2500|unspecified|gravelly soils|rocky hillsides, woodlands|none|Canadian Zone|6, 7, 8|blue, violet|||CA, OR|
PL0252|Penstemon parvus|5|20|2500|3000|unspecified|unspecified|shrublands|sagebrush|1451137 Aquarius Plateau|5, 6, 7|blue, violet|magenta||UT|49017, 49031, 49041
